cluster,n_peaks,pct_intergenic,pct_intronic,pct_exonic,pct_promoter,median_tss_distance,q25_tss_distance,q75_tss_distance,pct_within_2kb_tss,median_peak_width
30_6,361,40.72,51.25,7.2,0.83,17713.0,8699.0,30340.0,3.88,479.0
31_0,367,40.6,41.96,16.08,1.36,16629.0,6801.0,27363.0,6.15,611.0
31_1,725,33.66,32.97,31.03,2.34,10820.0,4776.0,24948.0,8.47,888.0
31_2,675,35.41,41.93,21.19,1.48,14293.0,6470.0,27302.0,7.05,552.0
31_3,442,33.71,28.73,30.09,7.47,8861.0,3228.0,17884.0,16.54,896.0
31_4,104,36.54,48.08,14.42,0.96,14028.0,8022.0,26430.0,4.05,376.0
31_5,763,31.98,36.44,28.83,2.75,11502.0,5398.0,24488.0,9.46,819.0
31_6,135,33.33,51.85,12.59,2.22,15948.0,5937.0,29492.0,10.28,701.0
31_7,336,35.12,41.96,19.05,3.87,13626.0,5213.0,26104.0,11.55,814.0
32_0,3814,34.66,31.52,28.05,5.77,9653.0,3562.0,21198.0,15.15,838.0
32_1,3476,36.59,36.94,23.56,2.91,11171.0,4708.0,23890.0,10.86,771.0
32_10,900,34.44,42.11,21.78,1.67,14030.0,6502.0,25619.0,6.53,634.0
32_11,409,38.39,41.81,17.11,2.69,11700.0,6216.0,23121.0,8.2,554.0
32_12,2561,37.91,40.41,20.03,1.64,14104.0,6406.0,26326.0,7.19,555.0
32_13,132,39.39,38.64,18.94,3.03,11550.0,4807.0,24780.0,9.43,675.0
32_14,1990,43.72,44.72,10.55,1.01,15184.0,7284.0,27205.0,6.03,333.0
32_15,420,40.24,44.52,12.14,3.1,16676.0,7876.0,28548.0,6.93,712.0
32_2,327,46.48,35.78,15.6,2.14,14597.0,6978.0,25422.0,7.82,561.0
32_3,705,36.6,42.55,18.87,1.99,13474.0,5663.0,24170.0,6.92,496.0
32_4,560,37.5,37.86,21.61,3.04,12784.0,5844.0,26828.0,9.84,701.0
32_5,645,38.6,36.28,22.17,2.95,12963.0,5578.0,25272.0,7.6,666.0
32_6,187,37.97,43.32,17.11,1.6,17032.0,7730.0,29684.0,6.47,692.0
32_7,153,21.57,48.37,28.1,1.96,11032.0,4490.0,20240.0,6.2,605.0
